order-id,order-date,customer-id,product-name,product-category,quantity,sales
O0001,2025-02-14,C0273,Smartphone,Electronics,5,3266.75
O0002,2025-07-14,C0341,Keyboard,Electronics,1,55.4
O0003,2025-03-23,C0575,Watch,Accessories,1,166.86
O0004,2025-03-25,C0447,Watch,Accessories,4,648.24
O0005,2025-02-05,C0750,Headphones,Electronics,7,567.83
O0006,2025-01-23,C0146,T-Shirt,Clothing,2,64.3
O0007,2025-05-30,C0588,Mouse,Electronics,1,37.88
O0008,2025-08-29,C0788,Jeans,Clothing,5,373.65
O0009,2025-09-25,C0212,Backpack,Accessories,6,413.52
O0010,2025-01-07,C0788,Desk Lamp,Home & Office,6,235.12
O0011,2025-12-17,C0816,Coffee Maker,Home Appliances,7,775.93
O0012,2025-09-24,C0384,Desk Lamp,Home & Office,8,330.78
O0013,2025-11-27,C0840,Coffee Maker,Home Appliances,1,102.99
O0014,2025-12-03,C0343,Headphones,Electronics,8,685.71
O0015,2025-02-07,C0397,Watch,Accessories,7,1316.22
O0016,2025-01-09,C0091,Air Fryer,Home Appliances,6,731.49
O0017,2025-06-30,C0416,Wallet,Accessories,1,49.48
O0018,2025-11-24,C0507,Blender,Home Appliances,1,71.82
O0019,2025-04-01,C0550,Desk,Furniture,8,1861.5
O0020,2025-08-25,C0138,T-Shirt,Clothing,7,222.66
O0021,2025-01-11,C0361,T-Shirt,Clothing,4,133.18
O0022,2025-11-21,C0112,Bookshelf,Furniture,7,964.39
O0023,2025-09-19,C0091,Desk Lamp,Home & Office,2,77.68
O0024,2025-01-05,C0387,Headphones,Electronics,7,667.26
O0025,2025-01-15,C0269,Headphones,Electronics,7,691.15
O0026,2025-10-15,C0357,Jeans,Clothing,1,67.69
O0027,2025-08-03,C0891,Laptop,Electronics,3,2327.77
O0028,2025-12-09,C0081,Mouse,Electronics,6,198.87
O0029,2025-10-03,C0936,Smartphone,Electronics,7,4171.75
O0030,2025-07-08,C0999,Backpack,Accessories,7,421.01
O0031,2025-11-19,C0604,Watch,Accessories,2,336.01
O0032,2025-02-01,C0466,Running Shoes,Clothing,7,880.55
O0033,2025-08-19,C0758,Laptop,Electronics,6,5478.5
O0034,2025-08-08,C0029,T-Shirt,Clothing,5,185.19
O0035,2025-09-22,C0141,Monitor,Electronics,6,1684.95
O0036,2025-10-07,C0231,Watch,Accessories,2,376.3
O0037,2025-02-17,C0519,Air Fryer,Home Appliances,6,744.39
O0038,2025-06-14,C0045,Desk,Furniture,4,952.91
O0039,2025-04-11,C0777,Coffee Maker,Home Appliances,2,220.23
